Parameters ,Elevation ,Slope ,Distance,Drainage,Flow,TWI ,Rainfall ,Landuse ,Soil ,TRI ,Geology ,Wfi/criteria weights
,,,from,density ,accumulation ,,,,,,,
,,,river ,,,,,,,,,
Elevation ,0.2822,0.3863,0.2862,0.2756,0.2675,0.247,0.2155,0.1877,0.1724,0.1445,0.1269,0.236
Slope ,0.1411,0.1931,0.2862,0.2756,0.2006,0.1976,0.2155,0.1877,0.1724,0.1445,0.1269,0.195
Distance from,0.1411,0.0965,0.1431,0.1837,0.2006,0.1976,0.1724,0.1564,0.1478,0.1265,0.1111,0.152
river ,,,,,,,,,,,,
Drainage density ,0.094,0.0643,0.0715,0.0918,0.1337,0.1482,0.1293,0.1251,0.1232,0.1265,0.1269,0.112
Flow,0.0705,0.0643,0.0477,0.0459,0.0668,0.0988,0.0862,0.0938,0.0985,0.0903,0.0952,0.078
accumulation ,,,,,,,,,,,,
TWI ,0.0564,0.0482,0.0357,0.0306,0.0334,0.0494,0.0862,0.1251,0.1232,0.1265,0.1111,0.075
Rainfall ,0.0564,0.0386,0.0357,0.0306,0.0334,0.0247,0.0431,0.0625,0.0739,0.0903,0.0952,0.053
Landuse ,0.047,0.0321,0.0286,0.0229,0.0222,0.0123,0.0215,0.0312,0.0492,0.0722,0.0793,0.038
Soil ,0.0403,0.0275,0.0238,0.0183,0.0167,0.0098,0.0143,0.0156,0.0246,0.0542,0.0634,0.028
TRI ,0.0352,0.0241,0.0204,0.0131,0.0133,0.007,0.0086,0.0078,0.0082,0.018,0.0476,0.019
Geology ,0.0352,0.0241,0.0204,0.0114,0.0111,0.007,0.0071,0.0062,0.0061,0.006,0.0158,0.014
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No. ,Parameters ,Classes ,1,2,3,4,5,6,7,CR ,RFi ,
1,Elevation ,0-163 ,1,,,,,,,0.0315,0.518,
,,164-422 ,01-Mar,1,,,,,,,0.218,
,,423-782 ,01-Apr,01-Feb,1,,,,,,0.139,
,,783-1346 ,01-Jul,01-Mar,01-Feb,1,,,,,0.084,
,,1347-2674 ,01-Sep,01-May,01-Apr,01-Mar,1,,,,0.041,
2,Slope ,0-4.15 ,1,,,,,,,0.0499,0.499,
,,4.16-9.79 ,01-Mar,1,,,,,,,0.276,
,,9.80-17.21 ,01-May,01-Mar,1,,,,,,0.113,
,,17.22-27.31 ,01-Jun,01-May,01-Feb,1,,,,,0.07,
,,27.32-75.40 ,01-Aug,01-Jul,01-Mar,01-Feb,1,,,,0.043,
3,Distance,,1,,,,,,,0.055,0.4,
,from river ,,,,,,,,,,,
,,500-1000 ,01-Feb,1,,,,,,,0.258,
,,1001-1500 ,01-Mar,01-Feb,1,,,,,,0.197,
,,1501-2000 ,01-Mar,01-Mar,01-Mar,1,,,,,0.102,
,,>2000 ,01-Jul,01-May,01-Jun,01-Mar,1,,,,0.043,
4,Drainage,1.13-2.64 ,1,,,,,,,0.0181,0.433,
,density ,,,,,,,,,,,
,,0.91-1.12 ,01-Feb,1,,,,,,,0.262,
,,0.71-0.90 ,01-Mar,01-Feb,1,,,,,,0.164,
,,0.48-0.70 ,01-May,01-Mar,01-Feb,1,,,,,0.089,
,,0-0.48 ,01-Jun,01-May,01-Apr,01-Feb,1,,,,0.052,
5,Flow,>50000 ,1,,,,,,,0.0158,0.423,
,accumulation ,,,,,,,,,,,
,,20001-,01-Feb,1,,,,,,,0.287,
,,50000,,,,,,,,,,
,,10001-,01-Mar,01-Feb,1,,,,,,0.151,
,,20000,,,,,,,,,,
,,4001-10000 ,01-Apr,01-Apr,01-Feb,1,,,,,0.088,
,,0-4000 ,01-Jul,01-Jun,01-Mar,01-Feb,1,,,,0.05,
6,TWI ,16.18-24.80 ,1,,,,,,,0.0548,0.421,
,,12.34-16.17 ,01-Feb,1,,,,,,,0.253,
,,9.52-12.33 ,01-Mar,01-Feb,1,,,,,,0.192,
,,7.47-9.51 ,01-May,01-Mar,01-Mar,1,,,,,0.09,
,,3.11-7.46 ,01-Jun,01-May,01-Jun,01-Mar,1,,,,0.045,
7,Rainfall ,4891-7663 ,1,,,,,,,0.0201,0.416,
,,3641-4890 ,01-Feb,1,,,,,,,0.262,
,,2755-3640 ,01-Mar,01-Feb,1,,,,,,0.161,
,,1928-2754 ,01-Apr,01-Mar,01-Feb,1,,,,,0.099,
,,718-1927 ,01-May,01-Apr,01-Mar,01-Feb,1,,,,0.062,
8,Landuse ,Waterbodies ,1,,,,,,,0.0272,0.379,
,,Built up ,01-Feb,1,,,,,,,0.249,
,,Agriculture ,01-Mar,01-Feb,1,,,,,,0.16,
,,Shrub ,01-Apr,01-Mar,01-Feb,1,,,,,0.102,
,,Natural,01-May,01-Apr,01-Mar,01-Feb,1,,,,0.065,
,,vegetation ,,,,,,,,,,
,,Barren land ,01-Jun,01-May,01-Apr,01-Mar,01-Feb,1,,,0.043,
9,Soil texture ,Waterbodies ,1,,,,,,,0.0384,0.331,
,,Clayey ,01-Feb,1,,,,,,,0.231,
,,Clay skeletal ,01-Feb,01-Feb,1,,,,,,0.152,
,,Loamy ,01-Apr,01-Mar,01-Feb,1,,,,,0.123,
